ID;Brand;Model;Width;Profile;Rim;Category;Price;Stock;Tag;Description;SpeedRating;LoadIndex;Image
16;Xbri;FASTWAY P7;175;70;13;autos;86400;24;Premium;Neumático Xbri FASTWAY P7 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;82;https://www.sunset.com.py/img/pattern/xbri/122149/xbri_fastway-p7_01_s.jpg
17;Xbri;FASTWAY C1;175;70;13;autos;86400;6;Destacado;Neumático Xbri FASTWAY C1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;82;https://www.sunset.com.py/img/pattern/xbri/143753/xbri_fastway-c1_01_s.jpg
18;Xbri;ECOLOGY;175;70;13;autos;87200;16;;Neumático Xbri ECOLOGY de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;82;https://www.sunset.com.py/img/pattern/xbri/51600/xbri_ecology_01_s.jpg
19;Linglong;GREEN-MAX ECOTOURING;185;70;13;autos;88000;22;;Neumático Linglong GREEN-MAX ECOTOURING de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;86;https://www.sunset.com.py/img/pattern/linglong/35822/linglong_green-max-ecotouring_01_s.jpg
20;Linglong;CROSSWIND HP010;185;60;14;autos;88000;23;;Neumático Linglong CROSSWIND HP010 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;82;https://www.sunset.com.py/img/pattern/linglong/31420/linglong_crosswind-hp010_01_s.jpg
21;Firemax;FM601;195;55;15;autos;88000;5;;Neumático Firemax FM601 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;85;https://www.sunset.com.py/img/pattern/firemax/58001/firemax_fm601_01_s.jpg
22;Xbri;FORZA A/T F2;175;75;14;autos;88000;16;;Neumático Xbri FORZA A/T F2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;86;https://www.sunset.com.py/img/pattern/xbri/140120/xbri_forza-at-f2_01_s.jpg
23;Firemax;FM601 XL;185;60;15;autos;89600;12;;Neumático Firemax FM601 XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/firemax/58001/firemax_fm601_01_s.jpg
24;Xbri;ECOLOGY;165;65;13;autos;91200;27;;Neumático Xbri ECOLOGY de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;77;https://www.sunset.com.py/img/pattern/xbri/51600/xbri_ecology_01_s.jpg
25;Xbri;FASTWAY F2;175;75;14;autos;91200;20;Oferta;Neumático Xbri FASTWAY F2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;86;https://www.sunset.com.py/img/pattern/xbri/130901/xbri_fastway-f2_01_s.jpg
26;Firemax;FM601;185;65;15;autos;91200;19;;Neumático Firemax FM601 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/firemax/58001/firemax_fm601_01_s.jpg
27;Firemax;FM601;205;55;16;autos;91200;25;;Neumático Firemax FM601 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;91;https://www.sunset.com.py/img/pattern/firemax/58001/firemax_fm601_01_s.jpg
28;Linglong;CROSSWIND A/T;175;80;14;autos;93600;27;;Neumático Linglong CROSSWIND A/T de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;88;https://www.sunset.com.py/img/pattern/linglong/45205/linglong_crosswind-at_01_s.jpg
29;Xbri;ECOLOGY;185;70;13;autos;93600;18;;Neumático Xbri ECOLOGY de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;86;https://www.sunset.com.py/img/pattern/xbri/51600/xbri_ecology_01_s.jpg
30;Xbri;FORZA A/T F2;175;80;14;autos;93600;6;;Neumático Xbri FORZA A/T F2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;88;https://www.sunset.com.py/img/pattern/xbri/140120/xbri_forza-at-f2_01_s.jpg
31;Linglong;GREEN-MAX ECOTOURING;175;65;14;autos;93600;10;Premium;Neumático Linglong GREEN-MAX ECOTOURING de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;82;https://www.sunset.com.py/img/pattern/linglong/35822/linglong_green-max-ecotouring_01_s.jpg
32;Xbri;FASTWAY A2;185;60;14;autos;95200;21;;Neumático Xbri FASTWAY A2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;82;https://www.sunset.com.py/img/pattern/xbri/82520/xbri_fastway-a2_01_s.jpg
33;Xbri;FASTWAY P7;185;60;14;autos;95200;14;Destacado;Neumático Xbri FASTWAY P7 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;82;https://www.sunset.com.py/img/pattern/xbri/122149/xbri_fastway-p7_01_s.jpg
34;Aderenza;SPEEDLINE D2;185;70;14;autos;95200;5;;Neumático Aderenza SPEEDLINE D2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;88;https://www.sunset.com.py/img/pattern/aderenza/98500/aderenza_speedline-d2_01_s.jpg
35;Xbri;SPORT+ 2 XL;165;45;17;autos;95200;24;;Neumático Xbri SPORT+ 2 XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;76;https://www.sunset.com.py/img/pattern/xbri/56420/xbri_sport+-2_01_s.jpg
36;Xbri;FASTWAY C1;185;70;13;autos;95200;15;;Neumático Xbri FASTWAY C1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;86;https://www.sunset.com.py/img/pattern/xbri/143753/xbri_fastway-c1_01_s.jpg
37;Xbri;FASTWAY F1;185;60;14;autos;95200;6;Oferta;Neumático Xbri FASTWAY F1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;82;https://www.sunset.com.py/img/pattern/xbri/124520/xbri_fastway-f1_01_s.jpg
38;Linglong;LL700;185;70;14;autos;95200;6;;Neumático Linglong LL700 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;88;https://www.sunset.com.py/img/pattern/linglong/420/linglong_ll700_01_s.jpg
39;Firemax;205/55ZR17  FM601 XL;205;55;17;autos;95200;19;;Neumático Firemax 205/55ZR17  FM601 XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;W;95;https://www.sunset.com.py/img/pattern/firemax/58001/firemax_fm601_01_s.jpg
40;Sunset;ENZO B2;175;65;14;autos;95200;14;;Neumático Sunset ENZO B2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;82;https://www.sunset.com.py/img/pattern/sunset/127322/sunset_enzo-b2_01_s.jpg
41;Xbri;ECOLOGY;185;60;14;autos;95200;15;Destacado;Neumático Xbri ECOLOGY de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;82;https://www.sunset.com.py/img/pattern/xbri/51600/xbri_ecology_01_s.jpg
42;Xbri;FASTWAY P7;175;65;14;autos;95200;20;;Neumático Xbri FASTWAY P7 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;82;https://www.sunset.com.py/img/pattern/xbri/122149/xbri_fastway-p7_01_s.jpg
43;Sunset;ENZO G1;205;55;16;autos;95200;13;;Neumático Sunset ENZO G1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;91;https://www.sunset.com.py/img/pattern/sunset/128907/sunset_enzo-g1_01_s.jpg
44;Xbri;FASTWAY C1;185;70;14;autos;95200;10;;Neumático Xbri FASTWAY C1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;88;https://www.sunset.com.py/img/pattern/xbri/143753/xbri_fastway-c1_01_s.jpg
45;Xbri;FASTWAY A3;175;65;14;autos;95200;10;;Neumático Xbri FASTWAY A3 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;82;https://www.sunset.com.py/img/pattern/xbri/82521/xbri_fastway-a3_01_s.jpg
46;Sunset;ENZO B2;185;70;14;autos;95200;6;Premium;Neumático Sunset ENZO B2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/sunset/127322/sunset_enzo-b2_01_s.jpg
47;Xbri;FASTWAY C1;175;70;14;autos;95200;25;;Neumático Xbri FASTWAY C1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;84;https://www.sunset.com.py/img/pattern/xbri/143753/xbri_fastway-c1_01_s.jpg
48;Xbri;FASTWAY C1;175;65;14;autos;95200;12;;Neumático Xbri FASTWAY C1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;82;https://www.sunset.com.py/img/pattern/xbri/143753/xbri_fastway-c1_01_s.jpg
49;Linglong;GREEN-MAX ECOTOURING*;175;70;14;autos;96800;22;Oferta;Neumático Linglong GREEN-MAX ECOTOURING* de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;84;https://images.unsplash.com/photo-1578844251758-2f71da64c96f?auto=format&fit=crop&q=80&w=500
50;Xbri;ECOLOGY W1;195;60;15;autos;96800;13;;Neumático Xbri ECOLOGY W1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/xbri/139725/xbri_ecology-w1_01_s.jpg
51;Xbri;FASTWAY Y1;185;60;15;autos;96800;25;;Neumático Xbri FASTWAY Y1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;84;https://www.sunset.com.py/img/pattern/xbri/142944/xbri_fastway-y1_01_s.jpg
52;Sunset;ENZO G1 XL;185;60;15;autos;96800;26;;Neumático Sunset ENZO G1 XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/sunset/128907/sunset_enzo-g1_01_s.jpg
53;Xbri;ECOLOGY XL;185;60;15;autos;96800;8;;Neumático Xbri ECOLOGY XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/xbri/51600/xbri_ecology_01_s.jpg
54;Xbri;FASTWAY C1;185;65;14;autos;96800;11;;Neumático Xbri FASTWAY C1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;86;https://www.sunset.com.py/img/pattern/xbri/143753/xbri_fastway-c1_01_s.jpg
55;Xbri;FASTWAY A3;195;55;15;autos;98400;21;;Neumático Xbri FASTWAY A3 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;85;https://www.sunset.com.py/img/pattern/xbri/82521/xbri_fastway-a3_01_s.jpg
56;Xbri;ECOLOGY;175;65;14;autos;98400;17;;Neumático Xbri ECOLOGY de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;82;https://www.sunset.com.py/img/pattern/xbri/51600/xbri_ecology_01_s.jpg
57;Xbri;FASTWAY A4;175;70;14;autos;98400;6;Destacado;Neumático Xbri FASTWAY A4 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;84;https://www.sunset.com.py/img/pattern/xbri/82522/xbri_fastway-a4_01_s.jpg
58;Xbri;ECOLOGY;185;70;14;autos;98400;15;;Neumático Xbri ECOLOGY de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/xbri/51600/xbri_ecology_01_s.jpg
59;Xbri;ECOLOGY;175;70;14;autos;99200;13;;Neumático Xbri ECOLOGY de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;84;https://www.sunset.com.py/img/pattern/xbri/51600/xbri_ecology_01_s.jpg
60;Xbri;FASTWAY F1;165;80;13;autos;100000;24;;Neumático Xbri FASTWAY F1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;83;https://www.sunset.com.py/img/pattern/xbri/124520/xbri_fastway-f1_01_s.jpg
61;Leao;LA35;245;50;18;autos;100000;19;Premium;Neumático Leao LA35 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;104;https://www.sunset.com.py/img/pattern/leao/143330/leao_la35_01_s.jpg
62;Aderenza;PERFORM XL;195;40;17;autos;100000;6;;Neumático Aderenza PERFORM XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;W;81;https://www.sunset.com.py/img/pattern/aderenza/47583/aderenza_perform_01_s.jpg
63;Xbri;FASTWAY A2;205;55;16;autos;100000;5;;Neumático Xbri FASTWAY A2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;91;https://www.sunset.com.py/img/pattern/xbri/82520/xbri_fastway-a2_01_s.jpg
64;Xbri;SPORT+ 2 XL;165;35;17;autos;100000;15;;Neumático Xbri SPORT+ 2 XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;68;https://www.sunset.com.py/img/pattern/xbri/56420/xbri_sport+-2_01_s.jpg
65;Xbri;FORZA A/T E1;175;70;14;autos;100000;11;Destacado;Neumático Xbri FORZA A/T E1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;84;https://www.sunset.com.py/img/pattern/xbri/118504/xbri_forza-at-e1_01_s.jpg
66;Sunset;ENZO G1;185;65;15;autos;100000;26;;Neumático Sunset ENZO G1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/sunset/128907/sunset_enzo-g1_01_s.jpg
67;Linglong;GREEN-MAX XL;195;40;17;autos;100000;6;;Neumático Linglong GREEN-MAX XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;81;https://www.sunset.com.py/img/pattern/linglong/658/linglong_green-max_01_s.jpg
68;Linglong;CROSSWIND A/T XL;175;70;14;autos;100000;7;;Neumático Linglong CROSSWIND A/T XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/linglong/45205/linglong_crosswind-at_01_s.jpg
69;Xbri;SPORT+ XL;195;40;17;autos;100000;15;;Neumático Xbri SPORT+ XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;W;81;https://www.sunset.com.py/img/pattern/xbri/51602/xbri_sport+_01_s.jpg
70;Xbri;FASTWAY A2;185;65;14;autos;100000;27;;Neumático Xbri FASTWAY A2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;86;https://www.sunset.com.py/img/pattern/xbri/82520/xbri_fastway-a2_01_s.jpg
71;Xbri;FASTWAY A3 XL;185;70;14;autos;100000;26;;Neumático Xbri FASTWAY A3 XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;92;https://www.sunset.com.py/img/pattern/xbri/82521/xbri_fastway-a3_01_s.jpg
72;Sunset;ENZO B2;185;65;15;autos;100000;13;;Neumático Sunset ENZO B2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/sunset/127322/sunset_enzo-b2_01_s.jpg
73;Sunset;205/55ZR17  ENZO G1 XL;205;55;17;autos;101600;16;Oferta;Neumático Sunset 205/55ZR17  ENZO G1 XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;W;95;https://www.sunset.com.py/img/pattern/sunset/128907/sunset_enzo-g1_01_s.jpg
74;Xbri;FASTWAY C2;195;60;15;autos;101600;10;;Neumático Xbri FASTWAY C2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/xbri/143754/xbri_fastway-c2_01_s.jpg
75;Linglong;GREEN-MAX HP010;195;60;15;autos;101600;14;;Neumático Linglong GREEN-MAX HP010 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/linglong/31423/linglong_green-max-hp010_01_s.jpg
76;Linglong;CROSSWIND HP010;185;60;15;autos;101600;22;Premium;Neumático Linglong CROSSWIND HP010 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;84;https://www.sunset.com.py/img/pattern/linglong/31420/linglong_crosswind-hp010_01_s.jpg
77;Sunset;ENZO G1;195;55;15;autos;104000;27;;Neumático Sunset ENZO G1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;85;https://www.sunset.com.py/img/pattern/sunset/128907/sunset_enzo-g1_01_s.jpg
78;Linglong;CROSSWIND HP010;185;65;15;autos;104000;17;;Neumático Linglong CROSSWIND HP010 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;88;https://www.sunset.com.py/img/pattern/linglong/31420/linglong_crosswind-hp010_01_s.jpg
79;Linglong;GREEN-MAX;195;45;15;autos;105600;4;;Neumático Linglong GREEN-MAX de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;78;https://www.sunset.com.py/img/pattern/linglong/658/linglong_green-max_01_s.jpg
80;Linglong;COMFORT MASTER;195;65;15;autos;105600;24;;Neumático Linglong COMFORT MASTER de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;91;https://www.sunset.com.py/img/pattern/linglong/108902/linglong_comfort-master_01_s.jpg
81;Xbri;ECOLOGY;195;65;14;autos;105600;23;Destacado;Neumático Xbri ECOLOGY de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;89;https://www.sunset.com.py/img/pattern/xbri/51600/xbri_ecology_01_s.jpg
82;Sunset;225/35ZR20  ENZO G1 XL;225;35;20;autos;105600;5;;Neumático Sunset 225/35ZR20  ENZO G1 XL de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;W;90;https://www.sunset.com.py/img/pattern/sunset/128907/sunset_enzo-g1_01_s.jpg
83;Xbri;SPORT+ C1;185;45;15;autos;105600;21;;Neumático Xbri SPORT+ C1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;75;https://www.sunset.com.py/img/pattern/xbri/143758/xbri_sport+-c1_01_s.jpg
84;Xbri;FASTWAY W1;195;55;15;autos;105600;10;;Neumático Xbri FASTWAY W1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;V;85;https://www.sunset.com.py/img/pattern/xbri/139726/xbri_fastway-w1_01_s.jpg
